"Date","Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"07/31/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",499,358,697,,,,501,374,669,506,377,680,,,,473,312,716
"08/01/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",712,469,1079,,,,1057,787,1421,521,410,662,566,425,754,,,
"08/02/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",591,437,799,598,435,821,742,619,891,544,415,713,518,370,724,,,
"08/03/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",740,484,1131,762,525,1106,925,669,1278,530,376,747,464,337,637,,,
"08/04/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",608,394,937,580,376,894,771,586,1013,546,326,916,608,394,937,,,
"08/05/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",490,386,621,456,370,562,663,466,943,642,468,879,490,386,621,581,400,843
"08/06/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",483,352,661,503,360,704,493,399,609,575,425,777,444,332,594,436,316,602
"08/07/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",473,350,640,,,,474,362,620,485,372,633,,,,472,326,684
"08/08/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",655,448,957,608,441,837,717,556,923,532,397,711,494,359,680,866,468,1604
"08/09/2016","886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","334","BOSTON, 238 (334)","[[-71.12684,42.37269],[-71.12647,42.37238],[-71.12602,42.37195],[-71.12553,42.37119],[-71.12526,42.37069],[-71.1249,42.3701],[-71.12463,42.36972],[-71.12445,42.36951],[-71.12417,42.36933],[-71.12383,42.36916],[-71.1232,42.36894],[-71.1238,42.36825],[-71.12443,42.36757],[-71.12557,42.3664],[-71.12595,42.36604],[-71.12645,42.36562],[-71.1296,42.36333],[-71.12995,42.36303],[-71.13009,42.36287],[-71.13023,42.36266],[-71.13152,42.36309],[-71.13179,42.36316],[-71.13264,42.36333],[-71.13191,42.36533],[-71.13193,42.36533],[-71.13117,42.36753],[-71.1319,42.36945],[-71.13179,42.36969],[-71.13176,42.36986],[-71.13179,42.37006],[-71.13186,42.37028],[-71.13209,42.37075],[-71.13218,42.3709],[-71.13257,42.37131],[-71.13297,42.37179],[-71.13309,42.37198],[-71.13318,42.37234],[-71.13315,42.37256],[-71.13309,42.37274],[-71.13296,42.37294],[-71.13272,42.3732],[-71.13246,42.37338],[-71.13207,42.3736],[-71.13152,42.3738],[-71.13115,42.37387],[-71.13068,42.37392],[-71.13017,42.37396],[-71.12963,42.37394],[-71.12895,42.37383],[-71.12861,42.37374],[-71.1282,42.37357],[-71.12792,42.37343],[-71.12728,42.37302],[-71.12701,42.37284],[-71.12684,42.37269]]",476,355,640,639,522,781,754,625,910,616,453,837,476,355,640,,,
