"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","115","BOSTON, 4 (115)","[[-71.06032,42.36888],[-71.06015,42.36861],[-71.06015,42.36831],[-71.0607,42.36776],[-71.0607,42.36756],[-71.06042,42.36739],[-71.0591,42.36786],[-71.05869,42.36729],[-71.05854,42.36702],[-71.05837,42.3652],[-71.05843,42.36473],[-71.05844,42.36442],[-71.06043,42.36638],[-71.06331,42.36894],[-71.06032,42.36888]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",685,449,1043
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","117","BOSTON, 6 (117)","[[-71.05549,42.36521],[-71.05553,42.36458],[-71.05558,42.36412],[-71.05579,42.36372],[-71.05636,42.36286],[-71.05581,42.36254],[-71.05605,42.3624],[-71.0563,42.36255],[-71.05676,42.36286],[-71.05754,42.36349],[-71.05844,42.36442],[-71.05843,42.36473],[-71.05837,42.3652],[-71.05853,42.36688],[-71.05808,42.36724],[-71.05723,42.36629],[-71.05715,42.36622],[-71.05679,42.36598],[-71.05584,42.36543],[-71.05549,42.36521]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",557,425,728
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","118","BOSTON, 7 (118)","[[-71.0534,42.36753],[-71.05403,42.36776],[-71.05343,42.36874],[-71.05329,42.36892],[-71.05322,42.36894],[-71.05315,42.36892],[-71.05313,42.36888],[-71.05314,42.36883],[-71.05308,42.3688],[-71.05299,42.36883],[-71.05294,42.36879],[-71.0529,42.3687],[-71.05279,42.36868],[-71.05215,42.36946],[-71.052,42.36967],[-71.05173,42.36956],[-71.05186,42.36932],[-71.05208,42.36905],[-71.05217,42.36891],[-71.052,42.36882],[-71.05171,42.3687],[-71.0512,42.36936],[-71.05092,42.36927],[-71.05181,42.36815],[-71.05128,42.36789],[-71.0508,42.36838],[-71.05024,42.36886],[-71.05,42.36871],[-71.0508,42.36803],[-71.05123,42.36763],[-71.05126,42.36759],[-71.05125,42.36757],[-71.05124,42.36754],[-71.05113,42.36746],[-71.05111,42.3674],[-71.05104,42.36734],[-71.05094,42.36733],[-71.05089,42.36735],[-71.05084,42.3673],[-71.05081,42.36723],[-71.05064,42.36732],[-71.05049,42.36743],[-71.05032,42.36751],[-71.0502,42.3676],[-71.05012,42.36762],[-71.04983,42.36783],[-71.04971,42.36762],[-71.0496,42.36748],[-71.0493,42.36702],[-71.04942,42.36699],[-71.05033,42.36682],[-71.05034,42.36668],[-71.0492,42.36682],[-71.04913,42.36654],[-71.04958,42.36648],[-71.04953,42.36636],[-71.04909,42.36635],[-71.04909,42.36613],[-71.04929,42.36599],[-71.04999,42.36601],[-71.05001,42.36578],[-71.04978,42.36568],[-71.04979,42.3655],[-71.04971,42.36547],[-71.04954,42.36541],[-71.04931,42.36536],[-71.04875,42.36529],[-71.04876,42.36488],[-71.0498,42.36506],[-71.05075,42.36508],[-71.0508,42.36504],[-71.05082,42.36507],[-71.05086,42.36507],[-71.05089,42.36505],[-71.05088,42.36485],[-71.04955,42.36471],[-71.04955,42.36458],[-71.04924,42.36453],[-71.04927,42.36435],[-71.04929,42.36435],[-71.04937,42.36404],[-71.05108,42.36417],[-71.05107,42.36483],[-71.05111,42.36539],[-71.05113,42.36539],[-71.05115,42.36567],[-71.05119,42.36591],[-71.05123,42.36601],[-71.0514,42.36637],[-71.05148,42.36647],[-71.05174,42.36671],[-71.05209,42.36701],[-71.05251,42.36719],[-71.0534,42.36753]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",593,447,785
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","120","BOSTON, 9 (120)","[[-71.05108,42.36417],[-71.05108,42.364],[-71.05319,42.36466],[-71.05346,42.36478],[-71.0532,42.36507],[-71.05301,42.36531],[-71.0528,42.36605],[-71.05264,42.36678],[-71.05251,42.36719],[-71.05209,42.36701],[-71.05188,42.36685],[-71.05148,42.36647],[-71.0514,42.36637],[-71.0513,42.36617],[-71.05119,42.36591],[-71.05115,42.36567],[-71.05113,42.36539],[-71.05111,42.36539],[-71.05107,42.36483],[-71.05108,42.36417]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",577,448,742
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","121","BOSTON, 10 (121)","[[-71.05346,42.36478],[-71.05319,42.36466],[-71.05177,42.3642],[-71.05179,42.36409],[-71.05189,42.36392],[-71.05203,42.36374],[-71.05219,42.36362],[-71.05231,42.36358],[-71.05276,42.36348],[-71.05347,42.3634],[-71.05383,42.3633],[-71.05406,42.3631],[-71.05419,42.36297],[-71.0543,42.36283],[-71.05438,42.36267],[-71.05453,42.36244],[-71.05483,42.36218],[-71.05496,42.362],[-71.05496,42.36195],[-71.05494,42.3619],[-71.05488,42.36184],[-71.05495,42.36181],[-71.05605,42.3624],[-71.05581,42.36254],[-71.05636,42.36286],[-71.05579,42.36372],[-71.05558,42.36412],[-71.05553,42.36458],[-71.05549,42.36521],[-71.05393,42.3643],[-71.05346,42.36478]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",582,431,784
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","122","BOSTON, 11 (122)","[[-71.05108,42.364],[-71.05101,42.36252],[-71.05102,42.36233],[-71.0511,42.36217],[-71.0512,42.36207],[-71.05138,42.36194],[-71.05228,42.3615],[-71.05243,42.36137],[-71.05265,42.36109],[-71.053,42.36073],[-71.05318,42.36086],[-71.05348,42.36104],[-71.05495,42.36181],[-71.05488,42.36184],[-71.05494,42.3619],[-71.05496,42.36195],[-71.05496,42.362],[-71.05483,42.36218],[-71.05453,42.36244],[-71.05438,42.36267],[-71.0543,42.36283],[-71.05419,42.36297],[-71.05406,42.3631],[-71.05383,42.3633],[-71.05347,42.3634],[-71.05276,42.36348],[-71.05231,42.36358],[-71.05219,42.36362],[-71.05203,42.36374],[-71.05189,42.36392],[-71.05179,42.36409],[-71.05177,42.3642],[-71.05108,42.364]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",565,414,769
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","124","BOSTON, 13 (124)","[[-71.05039,42.35486],[-71.05106,42.35513],[-71.05149,42.35534],[-71.05139,42.35549],[-71.05127,42.35574],[-71.05118,42.35603],[-71.05115,42.35625],[-71.05115,42.35652],[-71.0512,42.35687],[-71.05128,42.3572],[-71.05152,42.35797],[-71.05172,42.35853],[-71.05198,42.35947],[-71.05203,42.35958],[-71.04989,42.35996],[-71.04834,42.36018],[-71.04769,42.36022],[-71.04766,42.36005],[-71.04859,42.35992],[-71.04859,42.35995],[-71.05061,42.35964],[-71.05062,42.35925],[-71.04845,42.35957],[-71.04837,42.35928],[-71.04838,42.35924],[-71.0485,42.35922],[-71.04843,42.35901],[-71.04845,42.35895],[-71.04886,42.35891],[-71.04891,42.35897],[-71.04948,42.35888],[-71.04958,42.35895],[-71.05031,42.35881],[-71.05014,42.35824],[-71.04945,42.35834],[-71.04943,42.3583],[-71.04939,42.35812],[-71.04949,42.35809],[-71.04944,42.35795],[-71.04942,42.35788],[-71.04953,42.35785],[-71.04947,42.35764],[-71.04973,42.35757],[-71.04967,42.35734],[-71.04907,42.35748],[-71.04902,42.35739],[-71.04895,42.35733],[-71.04894,42.35728],[-71.04895,42.35725],[-71.04894,42.35717],[-71.04984,42.35698],[-71.04982,42.35686],[-71.0492,42.35686],[-71.0492,42.35682],[-71.04914,42.35669],[-71.04919,42.35663],[-71.04921,42.35657],[-71.0498,42.35657],[-71.0498,42.35645],[-71.04984,42.35632],[-71.04995,42.35633],[-71.04998,42.35612],[-71.04972,42.35616],[-71.04971,42.35623],[-71.04968,42.35627],[-71.04959,42.3563],[-71.04955,42.3563],[-71.04949,42.35627],[-71.04947,42.35623],[-71.04949,42.35615],[-71.04957,42.35611],[-71.04981,42.35578],[-71.05015,42.35522],[-71.05022,42.35507],[-71.05039,42.35486]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",657,508,849
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","126","BOSTON, 15 (126)","[[-71.0527,42.35149],[-71.05276,42.35139],[-71.05285,42.35143],[-71.05292,42.35146],[-71.05311,42.35155],[-71.05336,42.35167],[-71.05348,42.35173],[-71.05371,42.35184],[-71.05387,42.35192],[-71.05423,42.3521],[-71.0546,42.35228],[-71.0546,42.35228],[-71.05468,42.35232],[-71.05488,42.35242],[-71.05496,42.35245],[-71.05532,42.35259],[-71.05539,42.35262],[-71.05539,42.35262],[-71.05594,42.35278],[-71.05588,42.3528],[-71.05585,42.35281],[-71.05528,42.35302],[-71.05487,42.35319],[-71.05433,42.35348],[-71.05377,42.35379],[-71.05376,42.3538],[-71.05367,42.35371],[-71.05364,42.35368],[-71.05361,42.35366],[-71.0529,42.353],[-71.05289,42.35299],[-71.05286,42.35296],[-71.05279,42.35289],[-71.05246,42.35256],[-71.05224,42.3524],[-71.05223,42.35239],[-71.0522,42.35237],[-71.05216,42.35233],[-71.05214,42.35232],[-71.05214,42.35232],[-71.05241,42.35191],[-71.05239,42.35181],[-71.05244,42.35168],[-71.05253,42.35155],[-71.05258,42.35151],[-71.0527,42.35149]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",733,558,962
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","127","BOSTON, 16 (127)","[[-71.05548,42.35251],[-71.05556,42.3524],[-71.05586,42.35183],[-71.05676,42.35206],[-71.05714,42.3521],[-71.05795,42.35233],[-71.05786,42.35237],[-71.05758,42.35241],[-71.05726,42.3525],[-71.0571,42.35249],[-71.05695,42.35251],[-71.05594,42.35278],[-71.05539,42.35262],[-71.05548,42.35251]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",680,520,888
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","128","BOSTON, 17 (128)","[[-71.05586,42.35183],[-71.05657,42.35042],[-71.05805,42.35081],[-71.05934,42.3511],[-71.05926,42.35128],[-71.05914,42.35148],[-71.05897,42.3517],[-71.05879,42.35188],[-71.05861,42.35202],[-71.05849,42.35209],[-71.05829,42.3522],[-71.05795,42.35233],[-71.05714,42.3521],[-71.05676,42.35206],[-71.05586,42.35183]]","07/31/2016 - 08/28/2016, Sundays, AM Peak",734,561,958
