"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","4","CAMBRIDGE, 727 (4)","[[-71.14104,42.39691],[-71.14073,42.39622],[-71.14065,42.39598],[-71.14059,42.39571],[-71.14051,42.39504],[-71.14048,42.39406],[-71.14049,42.39389],[-71.14053,42.39367],[-71.14105,42.39203],[-71.14404,42.39254],[-71.14459,42.39265],[-71.14555,42.39292],[-71.14636,42.39318],[-71.14682,42.39336],[-71.14768,42.39377],[-71.14909,42.3945],[-71.15022,42.39495],[-71.15081,42.39511],[-71.15269,42.39555],[-71.15374,42.39573],[-71.15478,42.39582],[-71.15574,42.39586],[-71.15636,42.39586],[-71.15494,42.39756],[-71.15393,42.39695],[-71.15256,42.3967],[-71.15131,42.39663],[-71.15015,42.3967],[-71.14951,42.3968],[-71.14862,42.39697],[-71.14792,42.39695],[-71.14683,42.39697],[-71.14563,42.39701],[-71.14465,42.39708],[-71.14404,42.39722],[-71.14327,42.39755],[-71.14253,42.39808],[-71.14205,42.39836],[-71.14163,42.3987],[-71.14153,42.39881],[-71.14144,42.39896],[-71.14095,42.39892],[-71.14111,42.39856],[-71.1412,42.39828],[-71.14124,42.39806],[-71.14126,42.39783],[-71.14124,42.39757],[-71.14119,42.39727],[-71.14104,42.39691]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",788,655,947
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","63","MILTON, 1080 (63)","[[-71.04276,42.27673],[-71.04258,42.27513],[-71.04163,42.26836],[-71.04169,42.2682],[-71.04182,42.2676],[-71.04181,42.26745],[-71.04168,42.26706],[-71.04166,42.26683],[-71.04169,42.2666],[-71.04167,42.26643],[-71.03142,42.25924],[-71.03221,42.25828],[-71.03921,42.25442],[-71.04135,42.25762],[-71.04476,42.2629],[-71.04834,42.26855],[-71.05015,42.27121],[-71.05085,42.27233],[-71.05109,42.27256],[-71.05159,42.27293],[-71.05182,42.27311],[-71.05247,42.2736],[-71.05265,42.27381],[-71.05269,42.27392],[-71.05269,42.27407],[-71.05267,42.27425],[-71.05254,42.2745],[-71.05209,42.27521],[-71.05203,42.27536],[-71.05202,42.27573],[-71.05205,42.27585],[-71.05215,42.27607],[-71.05234,42.27638],[-71.0531,42.27731],[-71.05306,42.27732],[-71.05302,42.27729],[-71.05295,42.27729],[-71.05284,42.27724],[-71.05264,42.27726],[-71.05173,42.27752],[-71.05121,42.27759],[-71.05036,42.27761],[-71.04997,42.27752],[-71.0499,42.27747],[-71.0498,42.27729],[-71.0498,42.27726],[-71.04992,42.27719],[-71.05001,42.2771],[-71.0501,42.27693],[-71.05017,42.27687],[-71.05019,42.27684],[-71.0502,42.27677],[-71.05043,42.27658],[-71.05056,42.27641],[-71.05061,42.27631],[-71.05069,42.27621],[-71.05091,42.27601],[-71.05104,42.27596],[-71.0511,42.27589],[-71.05106,42.27587],[-71.05076,42.27582],[-71.05067,42.27585],[-71.05053,42.27605],[-71.05037,42.2762],[-71.05028,42.27637],[-71.0501,42.2765],[-71.04985,42.27674],[-71.04984,42.27678],[-71.04991,42.27696],[-71.0499,42.27699],[-71.04972,42.27716],[-71.04963,42.27721],[-71.04944,42.27726],[-71.04932,42.27738],[-71.04928,42.2774],[-71.04908,42.27743],[-71.04888,42.27742],[-71.04857,42.2773],[-71.0485,42.27726],[-71.0484,42.27713],[-71.04838,42.27705],[-71.0484,42.277],[-71.04837,42.27696],[-71.04834,42.27689],[-71.04843,42.27675],[-71.04847,42.27668],[-71.04847,42.27666],[-71.04833,42.27671],[-71.04826,42.27686],[-71.04813,42.27683],[-71.04784,42.27667],[-71.04783,42.27664],[-71.04797,42.27652],[-71.04775,42.27658],[-71.04765,42.27656],[-71.04718,42.27634],[-71.04691,42.27625],[-71.04674,42.27616],[-71.04672,42.27613],[-71.04671,42.27609],[-71.04674,42.27607],[-71.04684,42.27608],[-71.04698,42.27613],[-71.04712,42.27616],[-71.04751,42.27609],[-71.04751,42.27605],[-71.04748,42.27603],[-71.04738,42.27602],[-71.04713,42.27606],[-71.04695,42.27601],[-71.04673,42.27592],[-71.04648,42.27588],[-71.04645,42.27585],[-71.04641,42.27578],[-71.04642,42.27571],[-71.04662,42.27513],[-71.04664,42.27498],[-71.04679,42.2745],[-71.04678,42.27447],[-71.04664,42.27443],[-71.04659,42.27444],[-71.04658,42.27447],[-71.04657,42.27459],[-71.04654,42.2747],[-71.04654,42.27481],[-71.04648,42.27499],[-71.04648,42.27507],[-71.04636,42.27535],[-71.0463,42.27561],[-71.04626,42.27563],[-71.04604,42.27572],[-71.04575,42.27578],[-71.04536,42.27568],[-71.04506,42.27565],[-71.04471,42.27564],[-71.04401,42.27566],[-71.04392,42.27564],[-71.04393,42.27556],[-71.04398,42.27546],[-71.04402,42.27544],[-71.04412,42.27542],[-71.04422,42.27545],[-71.04432,42.27544],[-71.04441,42.27541],[-71.04448,42.27536],[-71.04454,42.27526],[-71.04452,42.27511],[-71.04453,42.27499],[-71.04458,42.27489],[-71.04462,42.27487],[-71.04486,42.27481],[-71.04496,42.27481],[-71.04506,42.27483],[-71.04516,42.27482],[-71.04514,42.27475],[-71.04504,42.27466],[-71.04484,42.27468],[-71.04465,42.27472],[-71.04452,42.27478],[-71.04443,42.27488],[-71.0444,42.27498],[-71.04439,42.27524],[-71.04435,42.27531],[-71.04431,42.27533],[-71.04426,42.27533],[-71.04412,42.27529],[-71.04407,42.27529],[-71.04397,42.27532],[-71.04385,42.27539],[-71.04376,42.27538],[-71.04378,42.27546],[-71.04378,42.27549],[-71.04364,42.2757],[-71.04329,42.27584],[-71.04296,42.27601],[-71.04283,42.27612],[-71.04278,42.27623],[-71.04275,42.27634],[-71.04275,42.27645],[-71.04279,42.27666],[-71.04279,42.2767],[-71.04276,42.27673]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",1120,853,1469
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","118","BOSTON, 7 (118)","[[-71.0534,42.36753],[-71.05403,42.36776],[-71.05343,42.36874],[-71.05329,42.36892],[-71.05322,42.36894],[-71.05315,42.36892],[-71.05313,42.36888],[-71.05314,42.36883],[-71.05308,42.3688],[-71.05299,42.36883],[-71.05294,42.36879],[-71.0529,42.3687],[-71.05279,42.36868],[-71.05215,42.36946],[-71.052,42.36967],[-71.05173,42.36956],[-71.05186,42.36932],[-71.05208,42.36905],[-71.05217,42.36891],[-71.052,42.36882],[-71.05171,42.3687],[-71.0512,42.36936],[-71.05092,42.36927],[-71.05181,42.36815],[-71.05128,42.36789],[-71.0508,42.36838],[-71.05024,42.36886],[-71.05,42.36871],[-71.0508,42.36803],[-71.05123,42.36763],[-71.05126,42.36759],[-71.05125,42.36757],[-71.05124,42.36754],[-71.05113,42.36746],[-71.05111,42.3674],[-71.05104,42.36734],[-71.05094,42.36733],[-71.05089,42.36735],[-71.05084,42.3673],[-71.05081,42.36723],[-71.05064,42.36732],[-71.05049,42.36743],[-71.05032,42.36751],[-71.0502,42.3676],[-71.05012,42.36762],[-71.04983,42.36783],[-71.04971,42.36762],[-71.0496,42.36748],[-71.0493,42.36702],[-71.04942,42.36699],[-71.05033,42.36682],[-71.05034,42.36668],[-71.0492,42.36682],[-71.04913,42.36654],[-71.04958,42.36648],[-71.04953,42.36636],[-71.04909,42.36635],[-71.04909,42.36613],[-71.04929,42.36599],[-71.04999,42.36601],[-71.05001,42.36578],[-71.04978,42.36568],[-71.04979,42.3655],[-71.04971,42.36547],[-71.04954,42.36541],[-71.04931,42.36536],[-71.04875,42.36529],[-71.04876,42.36488],[-71.0498,42.36506],[-71.05075,42.36508],[-71.0508,42.36504],[-71.05082,42.36507],[-71.05086,42.36507],[-71.05089,42.36505],[-71.05088,42.36485],[-71.04955,42.36471],[-71.04955,42.36458],[-71.04924,42.36453],[-71.04927,42.36435],[-71.04929,42.36435],[-71.04937,42.36404],[-71.05108,42.36417],[-71.05107,42.36483],[-71.05111,42.36539],[-71.05113,42.36539],[-71.05115,42.36567],[-71.05119,42.36591],[-71.05123,42.36601],[-71.0514,42.36637],[-71.05148,42.36647],[-71.05174,42.36671],[-71.05209,42.36701],[-71.05251,42.36719],[-71.0534,42.36753]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",663,473,927
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","120","BOSTON, 9 (120)","[[-71.05108,42.36417],[-71.05108,42.364],[-71.05319,42.36466],[-71.05346,42.36478],[-71.0532,42.36507],[-71.05301,42.36531],[-71.0528,42.36605],[-71.05264,42.36678],[-71.05251,42.36719],[-71.05209,42.36701],[-71.05188,42.36685],[-71.05148,42.36647],[-71.0514,42.36637],[-71.0513,42.36617],[-71.05119,42.36591],[-71.05115,42.36567],[-71.05113,42.36539],[-71.05111,42.36539],[-71.05107,42.36483],[-71.05108,42.36417]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",663,481,912
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","121","BOSTON, 10 (121)","[[-71.05346,42.36478],[-71.05319,42.36466],[-71.05177,42.3642],[-71.05179,42.36409],[-71.05189,42.36392],[-71.05203,42.36374],[-71.05219,42.36362],[-71.05231,42.36358],[-71.05276,42.36348],[-71.05347,42.3634],[-71.05383,42.3633],[-71.05406,42.3631],[-71.05419,42.36297],[-71.0543,42.36283],[-71.05438,42.36267],[-71.05453,42.36244],[-71.05483,42.36218],[-71.05496,42.362],[-71.05496,42.36195],[-71.05494,42.3619],[-71.05488,42.36184],[-71.05495,42.36181],[-71.05605,42.3624],[-71.05581,42.36254],[-71.05636,42.36286],[-71.05579,42.36372],[-71.05558,42.36412],[-71.05553,42.36458],[-71.05549,42.36521],[-71.05393,42.3643],[-71.05346,42.36478]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",582,424,797
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","122","BOSTON, 11 (122)","[[-71.05108,42.364],[-71.05101,42.36252],[-71.05102,42.36233],[-71.0511,42.36217],[-71.0512,42.36207],[-71.05138,42.36194],[-71.05228,42.3615],[-71.05243,42.36137],[-71.05265,42.36109],[-71.053,42.36073],[-71.05318,42.36086],[-71.05348,42.36104],[-71.05495,42.36181],[-71.05488,42.36184],[-71.05494,42.3619],[-71.05496,42.36195],[-71.05496,42.362],[-71.05483,42.36218],[-71.05453,42.36244],[-71.05438,42.36267],[-71.0543,42.36283],[-71.05419,42.36297],[-71.05406,42.3631],[-71.05383,42.3633],[-71.05347,42.3634],[-71.05276,42.36348],[-71.05231,42.36358],[-71.05219,42.36362],[-71.05203,42.36374],[-71.05189,42.36392],[-71.05179,42.36409],[-71.05177,42.3642],[-71.05108,42.364]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",563,400,790
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","126","BOSTON, 15 (126)","[[-71.0527,42.35149],[-71.05276,42.35139],[-71.05285,42.35143],[-71.05292,42.35146],[-71.05311,42.35155],[-71.05336,42.35167],[-71.05348,42.35173],[-71.05371,42.35184],[-71.05387,42.35192],[-71.05423,42.3521],[-71.0546,42.35228],[-71.0546,42.35228],[-71.05468,42.35232],[-71.05488,42.35242],[-71.05496,42.35245],[-71.05532,42.35259],[-71.05539,42.35262],[-71.05539,42.35262],[-71.05594,42.35278],[-71.05588,42.3528],[-71.05585,42.35281],[-71.05528,42.35302],[-71.05487,42.35319],[-71.05433,42.35348],[-71.05377,42.35379],[-71.05376,42.3538],[-71.05367,42.35371],[-71.05364,42.35368],[-71.05361,42.35366],[-71.0529,42.353],[-71.05289,42.35299],[-71.05286,42.35296],[-71.05279,42.35289],[-71.05246,42.35256],[-71.05224,42.3524],[-71.05223,42.35239],[-71.0522,42.35237],[-71.05216,42.35233],[-71.05214,42.35232],[-71.05214,42.35232],[-71.05241,42.35191],[-71.05239,42.35181],[-71.05244,42.35168],[-71.05253,42.35155],[-71.05258,42.35151],[-71.0527,42.35149]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",804,595,1085
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","127","BOSTON, 16 (127)","[[-71.05548,42.35251],[-71.05556,42.3524],[-71.05586,42.35183],[-71.05676,42.35206],[-71.05714,42.3521],[-71.05795,42.35233],[-71.05786,42.35237],[-71.05758,42.35241],[-71.05726,42.3525],[-71.0571,42.35249],[-71.05695,42.35251],[-71.05594,42.35278],[-71.05539,42.35262],[-71.05548,42.35251]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",665,467,945
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","130","BOSTON, 19 (130)","[[-71.05496,42.35245],[-71.05488,42.35242],[-71.05468,42.35232],[-71.0546,42.35228],[-71.0546,42.35228],[-71.05423,42.3521],[-71.05387,42.35192],[-71.05371,42.35184],[-71.05348,42.35173],[-71.05336,42.35167],[-71.05311,42.35155],[-71.05292,42.35146],[-71.05285,42.35143],[-71.05276,42.35139],[-71.05276,42.35139],[-71.05556,42.34724],[-71.05654,42.34757],[-71.05718,42.34873],[-71.05717,42.34879],[-71.05717,42.34879],[-71.05717,42.34895],[-71.05716,42.34915],[-71.05715,42.34921],[-71.05715,42.34926],[-71.0571,42.34937],[-71.05707,42.34942],[-71.05703,42.34951],[-71.05657,42.35042],[-71.05616,42.35123],[-71.05603,42.35148],[-71.05603,42.35148],[-71.05603,42.35149],[-71.05586,42.35183],[-71.05585,42.35184],[-71.05584,42.35187],[-71.05562,42.35228],[-71.05556,42.3524],[-71.05548,42.35251],[-71.05539,42.35262],[-71.05539,42.35262],[-71.05539,42.35262],[-71.05532,42.35259],[-71.05496,42.35245]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",828,595,1152
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","131","BOSTON, 20 (131)","[[-71.05703,42.34951],[-71.05715,42.34926],[-71.05716,42.34915],[-71.05718,42.34873],[-71.05654,42.34757],[-71.05556,42.34724],[-71.05572,42.347],[-71.05907,42.34574],[-71.05918,42.34567],[-71.05913,42.34561],[-71.05914,42.34552],[-71.05912,42.34547],[-71.05916,42.34542],[-71.05947,42.34532],[-71.05975,42.34517],[-71.05987,42.34515],[-71.06014,42.34517],[-71.06023,42.3451],[-71.06025,42.34506],[-71.06048,42.34489],[-71.06063,42.34467],[-71.06071,42.34449],[-71.06067,42.34444],[-71.06064,42.34435],[-71.06063,42.34422],[-71.06055,42.34407],[-71.06052,42.34395],[-71.06051,42.34383],[-71.06052,42.34376],[-71.0606,42.34357],[-71.0608,42.34323],[-71.06093,42.3431],[-71.06112,42.34299],[-71.06121,42.34296],[-71.06111,42.34294],[-71.06104,42.34291],[-71.06107,42.34284],[-71.061,42.34282],[-71.06095,42.34282],[-71.06091,42.34284],[-71.06084,42.34293],[-71.06076,42.34294],[-71.06096,42.34259],[-71.06146,42.34271],[-71.06145,42.34272],[-71.0619,42.34285],[-71.06253,42.343],[-71.06173,42.34475],[-71.0613,42.3458],[-71.06131,42.34576],[-71.06117,42.34609],[-71.06083,42.34706],[-71.06046,42.34844],[-71.05973,42.35011],[-71.05703,42.34951]]","07/31/2016 - 08/28/2016, Wednesdays, Early Morning",768,574,1027
