"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","2","BROOKLINE, 754 (2)","[[-71.14375,42.31627],[-71.14352,42.31608],[-71.14298,42.31568],[-71.14239,42.31511],[-71.14206,42.31487],[-71.1423,42.31422],[-71.14272,42.31336],[-71.14291,42.31301],[-71.14299,42.31277],[-71.14302,42.31255],[-71.14299,42.3124],[-71.14293,42.3122],[-71.14252,42.31132],[-71.14212,42.3104],[-71.14204,42.31034],[-71.14201,42.31025],[-71.14074,42.31044],[-71.14016,42.31051],[-71.13938,42.31037],[-71.1373,42.30981],[-71.13669,42.30966],[-71.13517,42.30935],[-71.13483,42.30929],[-71.13437,42.30924],[-71.1365,42.3062],[-71.1401,42.30217],[-71.14597,42.29794],[-71.14613,42.29824],[-71.14673,42.2991],[-71.14712,42.29955],[-71.14732,42.29975],[-71.14766,42.30006],[-71.14816,42.30042],[-71.1483,42.30055],[-71.14845,42.30065],[-71.14897,42.30106],[-71.1497,42.30167],[-71.1502,42.30214],[-71.15081,42.30275],[-71.15099,42.30302],[-71.15102,42.3031],[-71.15096,42.30325],[-71.15096,42.30334],[-71.15099,42.30344],[-71.15105,42.30352],[-71.15109,42.30356],[-71.15122,42.30361],[-71.15148,42.30363],[-71.15163,42.30368],[-71.15176,42.30376],[-71.15192,42.30402],[-71.15247,42.30522],[-71.15275,42.30561],[-71.15293,42.30583],[-71.15347,42.30636],[-71.1539,42.30662],[-71.15512,42.30722],[-71.15533,42.30742],[-71.1554,42.30746],[-71.15579,42.30763],[-71.15634,42.30779],[-71.15808,42.30819],[-71.15859,42.30835],[-71.15907,42.30854],[-71.15955,42.3088],[-71.16035,42.30937],[-71.16093,42.30973],[-71.16123,42.30988],[-71.16161,42.31004],[-71.16248,42.31032],[-71.16274,42.31047],[-71.16296,42.3107],[-71.16304,42.31076],[-71.16322,42.31081],[-71.16331,42.31081],[-71.16351,42.31077],[-71.16346,42.31085],[-71.16347,42.31097],[-71.16364,42.31127],[-71.16389,42.31156],[-71.16395,42.31166],[-71.16407,42.31194],[-71.16411,42.31208],[-71.16413,42.31254],[-71.16412,42.31282],[-71.16403,42.31323],[-71.16389,42.3136],[-71.16331,42.31492],[-71.16325,42.31515],[-71.16309,42.31641],[-71.16306,42.3168],[-71.16307,42.31707],[-71.16317,42.31742],[-71.16294,42.31755],[-71.16286,42.31763],[-71.16277,42.31778],[-71.16262,42.31793],[-71.16248,42.31802],[-71.16205,42.31819],[-71.16141,42.31834],[-71.16087,42.31843],[-71.16045,42.31852],[-71.16035,42.31814],[-71.16029,42.31775],[-71.1601,42.3173],[-71.16029,42.31706],[-71.16038,42.3169],[-71.16001,42.31639],[-71.15967,42.31611],[-71.15932,42.31607],[-71.15889,42.31641],[-71.15758,42.31687],[-71.15497,42.31742],[-71.15241,42.31872],[-71.15199,42.31887],[-71.15001,42.31834],[-71.14861,42.31756],[-71.14695,42.31692],[-71.14472,42.31542],[-71.14434,42.3156],[-71.14416,42.31573],[-71.14404,42.31585],[-71.14375,42.31627]]","07/31/2016 - 08/28/2016, Thursdays, Midday",1313,1074,1605
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","4","CAMBRIDGE, 727 (4)","[[-71.14104,42.39691],[-71.14073,42.39622],[-71.14065,42.39598],[-71.14059,42.39571],[-71.14051,42.39504],[-71.14048,42.39406],[-71.14049,42.39389],[-71.14053,42.39367],[-71.14105,42.39203],[-71.14404,42.39254],[-71.14459,42.39265],[-71.14555,42.39292],[-71.14636,42.39318],[-71.14682,42.39336],[-71.14768,42.39377],[-71.14909,42.3945],[-71.15022,42.39495],[-71.15081,42.39511],[-71.15269,42.39555],[-71.15374,42.39573],[-71.15478,42.39582],[-71.15574,42.39586],[-71.15636,42.39586],[-71.15494,42.39756],[-71.15393,42.39695],[-71.15256,42.3967],[-71.15131,42.39663],[-71.15015,42.3967],[-71.14951,42.3968],[-71.14862,42.39697],[-71.14792,42.39695],[-71.14683,42.39697],[-71.14563,42.39701],[-71.14465,42.39708],[-71.14404,42.39722],[-71.14327,42.39755],[-71.14253,42.39808],[-71.14205,42.39836],[-71.14163,42.3987],[-71.14153,42.39881],[-71.14144,42.39896],[-71.14095,42.39892],[-71.14111,42.39856],[-71.1412,42.39828],[-71.14124,42.39806],[-71.14126,42.39783],[-71.14124,42.39757],[-71.14119,42.39727],[-71.14104,42.39691]]","07/31/2016 - 08/28/2016, Thursdays, Midday",1109,887,1385
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","47","CHELSEA, 477 (47)","[[-71.03741,42.40168],[-71.03772,42.40185],[-71.03975,42.40217],[-71.03989,42.40224],[-71.04015,42.40207],[-71.04043,42.40192],[-71.04057,42.40185],[-71.0409,42.40174],[-71.04058,42.40197],[-71.03999,42.40285],[-71.03601,42.409],[-71.03344,42.41338],[-71.03318,42.41421],[-71.02904,42.41035],[-71.02901,42.41032],[-71.0293,42.41002],[-71.02965,42.40971],[-71.03002,42.40941],[-71.03074,42.4085],[-71.03083,42.40837],[-71.03087,42.40825],[-71.03091,42.40794],[-71.03095,42.40741],[-71.03102,42.40721],[-71.0312,42.40702],[-71.0314,42.40688],[-71.03156,42.4068],[-71.03184,42.40673],[-71.03282,42.40653],[-71.0336,42.40634],[-71.03409,42.40617],[-71.03448,42.40598],[-71.03485,42.40577],[-71.03509,42.40557],[-71.03531,42.40532],[-71.03546,42.40512],[-71.03564,42.40475],[-71.03577,42.40444],[-71.03619,42.4032],[-71.03625,42.40287],[-71.03624,42.40256],[-71.03689,42.4021],[-71.03741,42.40168]]","07/31/2016 - 08/28/2016, Thursdays, Midday",1041,748,1446
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","66","NEEDHAM, 1504 (66)","[[-71.22115,42.30649],[-71.22086,42.30641],[-71.22051,42.30641],[-71.22025,42.30645],[-71.21975,42.30658],[-71.21896,42.30674],[-71.21847,42.30681],[-71.21819,42.3068],[-71.21731,42.30663],[-71.21636,42.30641],[-71.21417,42.30636],[-71.21369,42.30629],[-71.21327,42.30616],[-71.21295,42.30595],[-71.21273,42.30571],[-71.21239,42.30522],[-71.21207,42.30468],[-71.2118,42.30417],[-71.21148,42.30365],[-71.21134,42.30332],[-71.21124,42.30288],[-71.21121,42.30261],[-71.21125,42.30227],[-71.21133,42.30201],[-71.21146,42.30167],[-71.21164,42.30132],[-71.21177,42.30094],[-71.21185,42.30036],[-71.21178,42.30006],[-71.21156,42.29973],[-71.21134,42.2995],[-71.21096,42.29921],[-71.21048,42.29883],[-71.20785,42.29714],[-71.20754,42.29686],[-71.20737,42.29653],[-71.20722,42.29611],[-71.2071,42.29572],[-71.20699,42.29545],[-71.20635,42.29427],[-71.20605,42.2934],[-71.2058,42.29251],[-71.20567,42.29216],[-71.20558,42.29171],[-71.20559,42.29099],[-71.20557,42.29044],[-71.20552,42.29019],[-71.20542,42.28986],[-71.20524,42.28957],[-71.20496,42.2893],[-71.20457,42.28905],[-71.20419,42.28889],[-71.20377,42.28873],[-71.20337,42.28862],[-71.20297,42.28857],[-71.20199,42.28863],[-71.20159,42.28863],[-71.20134,42.28856],[-71.20108,42.2884],[-71.20034,42.28779],[-71.20002,42.2876],[-71.1993,42.28727],[-71.19872,42.28708],[-71.19838,42.28695],[-71.19738,42.28648],[-71.19673,42.28608],[-71.19635,42.28596],[-71.19609,42.28597],[-71.19579,42.2862],[-71.19569,42.28648],[-71.19567,42.28683],[-71.19563,42.28726],[-71.19552,42.28757],[-71.19527,42.28796],[-71.19501,42.28816],[-71.19466,42.28828],[-71.19429,42.28828],[-71.1938,42.28821],[-71.19316,42.28799],[-71.19262,42.28768],[-71.19212,42.28728],[-71.19114,42.2862],[-71.19089,42.28582],[-71.19084,42.28549],[-71.19089,42.28513],[-71.19113,42.28412],[-71.19124,42.28346],[-71.19125,42.28299],[-71.19123,42.28265],[-71.19113,42.28236],[-71.19097,42.28212],[-71.19075,42.28184],[-71.19051,42.28165],[-71.18993,42.28129],[-71.18909,42.28091],[-71.1882,42.28046],[-71.18932,42.27898],[-71.19156,42.27869],[-71.19555,42.27822],[-71.19954,42.27768],[-71.19974,42.27838],[-71.19996,42.27897],[-71.20032,42.2797],[-71.20061,42.28022],[-71.20079,42.28051],[-71.20128,42.28121],[-71.20197,42.28202],[-71.20246,42.2825],[-71.20336,42.28329],[-71.20375,42.28359],[-71.21049,42.28831],[-71.21102,42.28869],[-71.21182,42.28931],[-71.21211,42.28956],[-71.21277,42.29015],[-71.21316,42.29055],[-71.21581,42.29313],[-71.21682,42.29414],[-71.21779,42.29509],[-71.21812,42.29504],[-71.21887,42.29571],[-71.21927,42.29603],[-71.21984,42.29644],[-71.22105,42.29722],[-71.2225,42.29807],[-71.22304,42.29844],[-71.22342,42.29874],[-71.22378,42.2991],[-71.22416,42.29953],[-71.2244,42.29986],[-71.22459,42.30016],[-71.22477,42.30051],[-71.22487,42.30075],[-71.22499,42.30109],[-71.22512,42.30156],[-71.22543,42.30307],[-71.22569,42.30409],[-71.22582,42.30442],[-71.22638,42.30566],[-71.22588,42.30608],[-71.22499,42.30676],[-71.22473,42.30693],[-71.22403,42.30729],[-71.22372,42.30721],[-71.22278,42.30715],[-71.22248,42.30705],[-71.22115,42.30649]]","07/31/2016 - 08/28/2016, Thursdays, Midday",1302,1059,1600
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","115","BOSTON, 4 (115)","[[-71.06032,42.36888],[-71.06015,42.36861],[-71.06015,42.36831],[-71.0607,42.36776],[-71.0607,42.36756],[-71.06042,42.36739],[-71.0591,42.36786],[-71.05869,42.36729],[-71.05854,42.36702],[-71.05837,42.3652],[-71.05843,42.36473],[-71.05844,42.36442],[-71.06043,42.36638],[-71.06331,42.36894],[-71.06032,42.36888]]","07/31/2016 - 08/28/2016, Thursdays, Midday",863,590,1260
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","116","BOSTON, 5 (116)","[[-71.05432,42.36898],[-71.05343,42.36874],[-71.05403,42.36776],[-71.0534,42.36753],[-71.05397,42.36692],[-71.05431,42.36707],[-71.05503,42.36598],[-71.0554,42.36539],[-71.05549,42.36521],[-71.05584,42.36543],[-71.05679,42.36598],[-71.05715,42.36622],[-71.05723,42.36629],[-71.05808,42.36724],[-71.05853,42.36688],[-71.05854,42.36702],[-71.05858,42.36712],[-71.05869,42.36729],[-71.0591,42.36786],[-71.05904,42.36789],[-71.05895,42.36788],[-71.0589,42.36774],[-71.05882,42.36761],[-71.05878,42.36758],[-71.05883,42.36777],[-71.05878,42.36789],[-71.05871,42.36796],[-71.0586,42.36798],[-71.05841,42.36795],[-71.05824,42.36796],[-71.05817,42.368],[-71.0582,42.36805],[-71.0581,42.36813],[-71.05799,42.3682],[-71.05782,42.36826],[-71.05767,42.36849],[-71.05761,42.36854],[-71.05754,42.36856],[-71.05732,42.36873],[-71.05724,42.36876],[-71.05684,42.36889],[-71.05647,42.36895],[-71.05576,42.36902],[-71.05554,42.36907],[-71.05531,42.36899],[-71.05516,42.36897],[-71.05513,42.36903],[-71.05506,42.36913],[-71.055,42.36916],[-71.05495,42.36917],[-71.05472,42.36914],[-71.05458,42.36911],[-71.05432,42.36898]]","07/31/2016 - 08/28/2016, Thursdays, Midday",856,636,1150
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","117","BOSTON, 6 (117)","[[-71.05549,42.36521],[-71.05553,42.36458],[-71.05558,42.36412],[-71.05579,42.36372],[-71.05636,42.36286],[-71.05581,42.36254],[-71.05605,42.3624],[-71.0563,42.36255],[-71.05676,42.36286],[-71.05754,42.36349],[-71.05844,42.36442],[-71.05843,42.36473],[-71.05837,42.3652],[-71.05853,42.36688],[-71.05808,42.36724],[-71.05723,42.36629],[-71.05715,42.36622],[-71.05679,42.36598],[-71.05584,42.36543],[-71.05549,42.36521]]","07/31/2016 - 08/28/2016, Thursdays, Midday",917,647,1299
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","118","BOSTON, 7 (118)","[[-71.0534,42.36753],[-71.05403,42.36776],[-71.05343,42.36874],[-71.05329,42.36892],[-71.05322,42.36894],[-71.05315,42.36892],[-71.05313,42.36888],[-71.05314,42.36883],[-71.05308,42.3688],[-71.05299,42.36883],[-71.05294,42.36879],[-71.0529,42.3687],[-71.05279,42.36868],[-71.05215,42.36946],[-71.052,42.36967],[-71.05173,42.36956],[-71.05186,42.36932],[-71.05208,42.36905],[-71.05217,42.36891],[-71.052,42.36882],[-71.05171,42.3687],[-71.0512,42.36936],[-71.05092,42.36927],[-71.05181,42.36815],[-71.05128,42.36789],[-71.0508,42.36838],[-71.05024,42.36886],[-71.05,42.36871],[-71.0508,42.36803],[-71.05123,42.36763],[-71.05126,42.36759],[-71.05125,42.36757],[-71.05124,42.36754],[-71.05113,42.36746],[-71.05111,42.3674],[-71.05104,42.36734],[-71.05094,42.36733],[-71.05089,42.36735],[-71.05084,42.3673],[-71.05081,42.36723],[-71.05064,42.36732],[-71.05049,42.36743],[-71.05032,42.36751],[-71.0502,42.3676],[-71.05012,42.36762],[-71.04983,42.36783],[-71.04971,42.36762],[-71.0496,42.36748],[-71.0493,42.36702],[-71.04942,42.36699],[-71.05033,42.36682],[-71.05034,42.36668],[-71.0492,42.36682],[-71.04913,42.36654],[-71.04958,42.36648],[-71.04953,42.36636],[-71.04909,42.36635],[-71.04909,42.36613],[-71.04929,42.36599],[-71.04999,42.36601],[-71.05001,42.36578],[-71.04978,42.36568],[-71.04979,42.3655],[-71.04971,42.36547],[-71.04954,42.36541],[-71.04931,42.36536],[-71.04875,42.36529],[-71.04876,42.36488],[-71.0498,42.36506],[-71.05075,42.36508],[-71.0508,42.36504],[-71.05082,42.36507],[-71.05086,42.36507],[-71.05089,42.36505],[-71.05088,42.36485],[-71.04955,42.36471],[-71.04955,42.36458],[-71.04924,42.36453],[-71.04927,42.36435],[-71.04929,42.36435],[-71.04937,42.36404],[-71.05108,42.36417],[-71.05107,42.36483],[-71.05111,42.36539],[-71.05113,42.36539],[-71.05115,42.36567],[-71.05119,42.36591],[-71.05123,42.36601],[-71.0514,42.36637],[-71.05148,42.36647],[-71.05174,42.36671],[-71.05209,42.36701],[-71.05251,42.36719],[-71.0534,42.36753]]","07/31/2016 - 08/28/2016, Thursdays, Midday",874,667,1144
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","119","BOSTON, 8 (119)","[[-71.05251,42.36719],[-71.05264,42.36678],[-71.0528,42.36605],[-71.05301,42.36531],[-71.0534,42.36484],[-71.05393,42.3643],[-71.05549,42.36521],[-71.0554,42.36539],[-71.05503,42.36598],[-71.05431,42.36707],[-71.05397,42.36692],[-71.0534,42.36753],[-71.05251,42.36719]]","07/31/2016 - 08/28/2016, Thursdays, Midday",943,729,1219
"886","CAMBRIDGE, 644 (886)","[[-71.0912,42.35435],[-71.09304,42.35388],[-71.09725,42.35319],[-71.1024,42.35262],[-71.10305,42.35251],[-71.10365,42.35374],[-71.10441,42.35544],[-71.10457,42.35584],[-71.10204,42.35709],[-71.10013,42.35807],[-71.09883,42.35867],[-71.09709,42.35952],[-71.09529,42.36043],[-71.09485,42.36017],[-71.09431,42.35978],[-71.09411,42.35961],[-71.09383,42.35934],[-71.09371,42.35922],[-71.09354,42.35899],[-71.09319,42.35838],[-71.0912,42.35435]]","120","BOSTON, 9 (120)","[[-71.05108,42.36417],[-71.05108,42.364],[-71.05319,42.36466],[-71.05346,42.36478],[-71.0532,42.36507],[-71.05301,42.36531],[-71.0528,42.36605],[-71.05264,42.36678],[-71.05251,42.36719],[-71.05209,42.36701],[-71.05188,42.36685],[-71.05148,42.36647],[-71.0514,42.36637],[-71.0513,42.36617],[-71.05119,42.36591],[-71.05115,42.36567],[-71.05113,42.36539],[-71.05111,42.36539],[-71.05107,42.36483],[-71.05108,42.36417]]","07/31/2016 - 08/28/2016, Thursdays, Midday",942,662,1339
